risk_id,event_id,theme,status,risk,source,issue,evidence,recommendation,manual_review,owner
R-011,E009,КоАП и ответственность,partial_overlap,средний,КоАП РФ ↔ 281-ФЗ,"281-ФЗ меняет КоАП, но не является самостоятельным описанием всех миграционных составов.",D13; D25,Проверять claims по ответственности на уровне конкретных статей КоАП.,да,юрист-миграционщик
R-012,E013,Сопротивление миграции / межнациональная напряженность,partial_overlap,средний,ВЦИОМ ↔ Концепция 2026-2030,ВЦИОМ говорит о сопротивлении миграции и межнациональной напряженности как аналитическом вызове.,D03 slide 5; D04/D08,Не маркировать ВЦИОМ как НПА; использовать как claim source.,да,юрист-миграционщик
R-013,E014,Сопротивление миграции / межнациональная напряженность,match,низкий,ВЦИОМ ↔ План 4171-р,ВЦИОМ утверждает слабую интеграцию трудовых мигрантов.,D03 slide 5; D08 plan,"Claim подтверждается направлением мер, но требует соцстатистики для уровня напряженности.",да,юрист-миграционщик
R-014,E017,"Госпошлины, НДФЛ, патенты",partial_overlap,средний,Клерк ↔ НК РФ,Клерк описывает НДФЛ/патенты/госпошлины.,D09; D12/D16,Разложить каждый налоговый claim по статье НК РФ.,да,юрист-миграционщик
R-015,E018,КоАП и ответственность,partial_overlap,средний,Клерк ↔ КоАП РФ,Клерк описывает ответственность работодателей.,D09; D13 ст.18.15,Проверить точные суммы/составы по действующей редакции КоАП.,да,юрист-миграционщик
R-016,E025,Forensic/provenance layer,partial_overlap,средний,ПП №2573 ↔ ПП №1375,"ПП2573 official URL мог быть недоступен/stub, но mirror/fallback тексты найдены.",manifest round2 entries 56-62,Указать legal database mirror как источник консолидации.,да,юрист-миграционщик
R-017,E028,Концепции и планы реализации,partial_overlap,средний,ВЦИОМ ↔ Концепция 2026-2030,Системное перекрестное сопоставление: ВЦИОМ ↔ Концепция 2026-2030.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-018,E032,Концепции и планы реализации,partial_overlap,средний,ВЦИОМ ↔ План 4171-р,Системное перекрестное сопоставление: ВЦИОМ ↔ План 4171-р.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-019,E034,Режим высылки и реестр контролируемых лиц,partial_overlap,средний,ВЦИОМ ↔ 115-ФЗ,Системное перекрестное сопоставление: ВЦИОМ ↔ 115-ФЗ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-020,E039,Концепции и планы реализации,partial_overlap,средний,Концепция 2026-2030 ↔ План 4171-р,Системное перекрестное сопоставление: Концепция 2026-2030 ↔ План 4171-р.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-021,E045,Миграционный учет и уведомления,partial_overlap,средний,109-ФЗ ↔ Клерк,Системное перекрестное сопоставление: 109-ФЗ ↔ Клерк.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-022,E055,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,Клерк ↔ Минэк страница,Системное перекрестное сопоставление: Клерк ↔ Минэк страница.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-023,E056,"Правовое положение, трудовая деятельность, патенты",partial_overlap,средний,Клерк ↔ 115-ФЗ,Системное перекрестное сопоставление: Клерк ↔ 115-ФЗ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-024,E057,"Правовое положение, трудовая деятельность, патенты",partial_overlap,средний,Клерк ↔ НК РФ,Системное перекрестное сопоставление: Клерк ↔ НК РФ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-025,E058,"Правовое положение, трудовая деятельность, патенты",partial_overlap,средний,Клерк ↔ КоАП РФ,Системное перекрестное сопоставление: Клерк ↔ КоАП РФ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-026,E063,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,Клерк ↔ 114-ФЗ,Системное перекрестное сопоставление: Клерк ↔ 114-ФЗ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-027,E064,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,Клерк ↔ ПП №1510,Системное перекрестное сопоставление: Клерк ↔ ПП №1510.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-028,E065,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,Клерк ↔ ПП №1562,Системное перекрестное сопоставление: Клерк ↔ ПП №1562.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-029,E066,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,Клерк ↔ ПП №468,Системное перекрестное сопоставление: Клерк ↔ ПП №468.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-030,E067,Миграционный учет и уведомления,partial_overlap,средний,Клерк ↔ 270-ФЗ,Системное перекрестное сопоставление: Клерк ↔ 270-ФЗ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-031,E069,Инвестиционный ВНЖ,partial_overlap,средний,Минэк страница ↔ 115-ФЗ,Системное перекрестное сопоставление: Минэк страница ↔ 115-ФЗ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-032,E070,"Правовое положение, трудовая деятельность, патенты",partial_overlap,средний,Минэк страница ↔ НК РФ,Системное перекрестное сопоставление: Минэк страница ↔ НК РФ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-033,E071,"Правовое положение, трудовая деятельность, патенты",partial_overlap,средний,Минэк страница ↔ КоАП РФ,Системное перекрестное сопоставление: Минэк страница ↔ КоАП РФ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-034,E074,Инвестиционный ВНЖ,partial_overlap,средний,Минэк страница ↔ Брошюра Минэка ВНЖ,Системное перекрестное сопоставление: Минэк страница ↔ Брошюра Минэка ВНЖ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-035,E075,Инвестиционный ВНЖ,partial_overlap,средний,Минэк страница ↔ 114-ФЗ,Системное перекрестное сопоставление: Минэк страница ↔ 114-ФЗ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-036,E077,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,Минэк страница ↔ ПП №1510,Системное перекрестное сопоставление: Минэк страница ↔ ПП №1510.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-037,E078,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,Минэк страница ↔ ПП №1562,Системное перекрестное сопоставление: Минэк страница ↔ ПП №1562.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-038,E079,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,Минэк страница ↔ ПП №468,Системное перекрестное сопоставление: Минэк страница ↔ ПП №468.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-039,E080,Миграционный учет и уведомления,partial_overlap,средний,Минэк страница ↔ 270-ФЗ,Системное перекрестное сопоставление: Минэк страница ↔ 270-ФЗ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-040,E083,"Правовое положение, трудовая деятельность, патенты",partial_overlap,средний,115-ФЗ ↔ НК РФ,Системное перекрестное сопоставление: 115-ФЗ ↔ НК РФ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-041,E084,"Правовое положение, трудовая деятельность, патенты",partial_overlap,средний,115-ФЗ ↔ КоАП РФ,Системное перекрестное сопоставление: 115-ФЗ ↔ КоАП РФ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-042,E088,Инвестиционный ВНЖ,partial_overlap,средний,115-ФЗ ↔ 114-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 114-ФЗ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-043,E090,"Правовое положение, трудовая деятельность, патенты",partial_overlap,средний,115-ФЗ ↔ 270-ФЗ,Системное перекрестное сопоставление: 115-ФЗ ↔ 270-ФЗ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-044,E093,"Правовое положение, трудовая деятельность, патенты",partial_overlap,средний,НК РФ ↔ КоАП РФ,Системное перекрестное сопоставление: НК РФ ↔ КоАП РФ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-045,E095,"Правовое положение, трудовая деятельность, патенты",partial_overlap,средний,НК РФ ↔ 270-ФЗ,Системное перекрестное сопоставление: НК РФ ↔ 270-ФЗ.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-046,E111,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,114-ФЗ ↔ ПП №1510,Системное перекрестное сопоставление: 114-ФЗ ↔ ПП №1510.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-047,E112,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,114-ФЗ ↔ ПП №1562,Системное перекрестное сопоставление: 114-ФЗ ↔ ПП №1562.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-048,E113,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,114-ФЗ ↔ ПП №468,Системное перекрестное сопоставление: 114-ФЗ ↔ ПП №468.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-049,E116,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,ПП №1510 ↔ ПП №1562,Системное перекрестное сопоставление: ПП №1510 ↔ ПП №1562.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-050,E117,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,ПП №1510 ↔ ПП №468,Системное перекрестное сопоставление: ПП №1510 ↔ ПП №468.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-051,E118,ruID / целевой цифровой въезд / биометрия,partial_overlap,средний,ПП №1562 ↔ ПП №468,Системное перекрестное сопоставление: ПП №1562 ↔ ПП №468.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-052,E121,Инвестиционный ВНЖ,partial_overlap,средний,115-ФЗ ↔ ПП №1375,Системное перекрестное сопоставление: 115-ФЗ ↔ ПП №1375.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-053,E123,Инвестиционный ВНЖ,partial_overlap,средний,Брошюра Минэка ВНЖ ↔ ПП №1375,Системное перекрестное сопоставление: Брошюра Минэка ВНЖ ↔ ПП №1375.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
R-054,E125,Инвестиционный ВНЖ,partial_overlap,средний,ПП №2573 ↔ ПП №1375,Системное перекрестное сопоставление: ПП №2573 ↔ ПП №1375.,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,ответственный юрист
