event_id,theme_id,theme,left_id,left_doc,right_id,right_doc,claim_left,evidence_right,status,risk,confidence,legal_coordinate,conclusion,manual_review,source_rank_left,source_rank_right,source_type_left,source_type_right,primary_act,reason,review_owner,closure_criteria,docx_link,pdf_link,visual_link
E011,T06,ЕАЭС и «Работа в ЕАЭС»,D26,Договор ЕАЭС ст. 96-98,D11,115-ФЗ,Для граждан ЕАЭС разрешение на трудовую деятельность не требуется по ст.97 Договора ЕАЭС.,Для не-ЕАЭС режим проверяется по 115-ФЗ/патентам.,partial_overlap,высокий,0.91,D26 ст.97; D11 патентные нормы,Разделить ЕАЭС и не-ЕАЭС режимы в Минэк/Клерк.,да,1,1,международный договор,федеральный закон,Договор ЕАЭС ст. 96-98 / 115-ФЗ,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E012,T07,Узбекистан/Таджикистан: не-ЕАЭС режим,D10,Минэк страница,D11,115-ФЗ,Узбекистан/Таджикистан фигурируют в сервисной логике проекта/приложения.,Их правовой трудовой режим не вытекает из Договора ЕАЭС.,manual_review,высокий,0.88,D10; D11,"Проверить отдельные режимы для Узбекистана/Таджикистана по 115-ФЗ, патентам и соглашениям.",да,2,1,ведомственная информация / snapshot,федеральный закон,115-ФЗ,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E013,T13,Сопротивление миграции / межнациональная напряженность,D03,ВЦИОМ,D04,Концепция 2026-2030,ВЦИОМ говорит о сопротивлении миграции и межнациональной напряженности как аналитическом вызове.,"Концепция/планы имеют нормативный контур интеграции и безопасности, но не социологическое доказательство.",partial_overlap,средний,0.84,D03 slide 5; D04/D08,Не маркировать ВЦИОМ как НПА; использовать как claim source.,да,3,1,аналитическая презентация,стратегический НПА / Указ,Концепция 2026-2030,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E014,T13,Сопротивление миграции / межнациональная напряженность,D03,ВЦИОМ,D08,План 4171-р,ВЦИОМ утверждает слабую интеграцию трудовых мигрантов.,План 4171-р содержит адаптационные/интеграционные мероприятия.,match,низкий,0.81,D03 slide 5; D08 plan,"Claim подтверждается направлением мер, но требует соцстатистики для уровня напряженности.",да,3,1,аналитическая презентация,план мероприятий,План 4171-р,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E015,T12,Образовательная / интеллектуальная миграция,D03,ВЦИОМ,D04,Концепция 2026-2030,ВЦИОМ: стимулирование образовательной и интеллектуальной миграции.,Новая Концепция/план содержат контур отбора и образовательной миграции.,match,низкий,0.86,D03 slide 4; D04/D08,Оставить как совместимый аналитический тезис.,нет,3,1,аналитическая презентация,стратегический НПА / Указ,Концепция 2026-2030,содержательное событие v9,,закрыто матрицей,,,
E016,T08,Режим высылки и реестр контролируемых лиц,D09,Клерк,D15,260-ФЗ,Клерк описывает режим высылки и реестр контролируемых лиц.,260-ФЗ является первичным актом для этого блока.,match,низкий,0.88,D09; D15,"Подтверждать claims Клерка через 260-ФЗ, не через обзор.",нет,3,1,вторичный обзор,федеральный закон / контроль,260-ФЗ,содержательное событие v9,,закрыто матрицей,,,
E017,T09,"Госпошлины, НДФЛ, патенты",D09,Клерк,D12,НК РФ,Клерк описывает НДФЛ/патенты/госпошлины.,НК РФ и 271-ФЗ являются первичными источниками.,partial_overlap,средний,0.8,D09; D12/D16,Разложить каждый налоговый claim по статье НК РФ.,да,3,1,вторичный обзор,кодекс / налоги,НК РФ,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E018,T10,КоАП и ответственность,D09,Клерк,D13,КоАП РФ,Клерк описывает ответственность работодателей.,КоАП 18.15 является первичной нормой по незаконному привлечению.,partial_overlap,средний,0.82,D09; D13 ст.18.15,Проверить точные суммы/составы по действующей редакции КоАП.,да,3,1,вторичный обзор,кодекс / ответственность,КоАП РФ,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E019,T11,Концепции и планы реализации,D04,Концепция 2026-2030,D05,Концепция 2019-2025,Концепция 2026-2030 добавляет новый контрольный/цифровой контур и ожидаемые результаты.,Концепция 2019-2025 более рамочная.,partial_overlap,средний,0.9,D04; D05,"Использовать как policy diff, не как поправки одного текста.",нет,1,1,стратегический НПА / Указ,стратегический НПА / Указ,Концепция 2026-2030 / Концепция 2019-2025,содержательное событие v9,,закрыто матрицей,,,
E020,T11,Концепции и планы реализации,D04,Концепция 2026-2030,D08,План 4171-р,План 4171-р операционализирует Концепцию 2026-2030.,Связь концепция -> мероприятие должна фиксироваться построчно.,match,низкий,0.88,D04; D08,"Coverage должен быть строковым: мероприятие, исполнитель, срок, результат.",нет,1,1,стратегический НПА / Указ,план мероприятий,Концепция 2026-2030 / План 4171-р,содержательное событие v9,,закрыто матрицей,,,
E021,T11,Концепции и планы реализации,D07,План 30-р,D08,План 4171-р,План 30-р и План 4171-р относятся к разным циклам Концепции.,"Сравнение должно показывать смену приоритетов, не устаревание одного плана другим.",partial_overlap,средний,0.82,D07; D08,Разнести по циклам 2019-2025 и 2026-2030.,нет,1,1,план мероприятий,план мероприятий,План 30-р / План 4171-р,содержательное событие v9,,закрыто матрицей,,,
E022,T14,Forensic/provenance layer,D01,Памятка Нейрон,D02,Пример выгрузки Нейрон,Памятка Нейрон задает режим «Все пары» и Excel-анализ.,"Пример выгрузки показывает машинный формат, но не заменяет legal evidence.",match,низкий,0.75,D01; D02,Использовать как workflow benchmark.,нет,4,4,методика / инструкция,пример выгрузки / таблица,,содержательное событие v9,,закрыто матрицей,,,
E023,T14,Forensic/provenance layer,D10,Минэк страница,D10,Минэк страница,"Минэк official URL имел timeout, но локальный MHT/PDF snapshot сохранен.","Это provenance-risk, а не reason удалить источник.",source_gap,средний,0.73,manifest status failed_curl_28; local snapshot,Фиксировать official URL недоступность и local snapshot.,да,2,2,ведомственная информация / snapshot,ведомственная информация / snapshot,,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E024,T14,Forensic/provenance layer,D24,270-ФЗ,D24,270-ФЗ,Official publication 270-ФЗ имел failed_curl_28; fallback Garant/Kontur доступны.,"Для forensic нужно хранить и failure, и fallback mirror.",source_gap,средний,0.77,"manifest entries 27-28, fallback 42",В источниках указать provenance-risk.,да,1,1,федеральный закон / изменения,федеральный закон / изменения,270-ФЗ / 270-ФЗ,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E025,T14,Forensic/provenance layer,D20,ПП №2573,D27,ПП №1375,"ПП2573 official URL мог быть недоступен/stub, но mirror/fallback тексты найдены.",ПП1375 найден в нескольких mirrors.,partial_overlap,средний,0.75,manifest round2 entries 56-62,Указать legal database mirror как источник консолидации.,да,1,1,постановление Правительства / критерии,постановление Правительства / изменение ПП2573,ПП №2573 / ПП №1375,содержательное событие v9,юрист-миграционщик,подтвердить норму/редакцию,,,
E026,T14,Forensic/provenance layer,D01,Памятка Нейрон,D18,Брошюра Минэка ВНЖ,Системное перекрестное сопоставление: Памятка Нейрон ↔ Брошюра Минэка ВНЖ.,Тип сравнения: методический/forensic контекст; темы: T14.,not_comparable,низкий,0.55,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Содержательное сравнение не требуется; пара учтена для полноты all-to-all.,нет,4,2,методика / инструкция,ведомственная брошюра / информационный материал,,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-017.docx,03_pair_reports/ПАРА-017.pdf,
E027,T14,Forensic/provenance layer,D02,Пример выгрузки Нейрон,D11,115-ФЗ,Системное перекрестное сопоставление: Пример выгрузки Нейрон ↔ 115-ФЗ.,Тип сравнения: provenance/архивное сопоставление; темы: нет содержательной темы.,not_comparable,низкий,0.55,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Содержательное сравнение не требуется; пара учтена для полноты all-to-all.,нет,4,1,пример выгрузки / таблица,федеральный закон,115-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-034.docx,03_pair_reports/ПАРА-034.pdf,
E028,T11,Концепции и планы реализации,D03,ВЦИОМ,D04,Концепция 2026-2030,Системное перекрестное сопоставление: ВЦИОМ ↔ Концепция 2026-2030.,"Тип сравнения: интегральное тематическое сопоставление; темы: T11, T12, T13.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,3,1,аналитическая презентация,стратегический НПА / Указ,Концепция 2026-2030,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-050.docx,03_pair_reports/ПАРА-050.pdf,
E029,T11,Концепции и планы реализации,D03,ВЦИОМ,D05,Концепция 2019-2025,Системное перекрестное сопоставление: ВЦИОМ ↔ Концепция 2019-2025.,Тип сравнения: тематическое сопоставление; темы: T11.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,3,1,аналитическая презентация,стратегический НПА / Указ,Концепция 2019-2025,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-051.docx,03_pair_reports/ПАРА-051.pdf,
E030,T08,Режим высылки и реестр контролируемых лиц,D03,ВЦИОМ,D06,109-ФЗ,Системное перекрестное сопоставление: ВЦИОМ ↔ 109-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T08.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,3,1,аналитическая презентация,федеральный закон,109-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-052.docx,03_pair_reports/ПАРА-052.pdf,
E031,T11,Концепции и планы реализации,D03,ВЦИОМ,D07,План 30-р,Системное перекрестное сопоставление: ВЦИОМ ↔ План 30-р.,Тип сравнения: тематическое сопоставление; темы: T11.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,3,1,аналитическая презентация,план мероприятий,План 30-р,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-053.docx,03_pair_reports/ПАРА-053.pdf,
E032,T11,Концепции и планы реализации,D03,ВЦИОМ,D08,План 4171-р,Системное перекрестное сопоставление: ВЦИОМ ↔ План 4171-р.,"Тип сравнения: интегральное тематическое сопоставление; темы: T11, T12, T13.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,3,1,аналитическая презентация,план мероприятий,План 4171-р,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-054.docx,03_pair_reports/ПАРА-054.pdf,
E033,T08,Режим высылки и реестр контролируемых лиц,D03,ВЦИОМ,D09,Клерк,Системное перекрестное сопоставление: ВЦИОМ ↔ Клерк.,Тип сравнения: тематическое сопоставление; темы: T08.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,3,3,аналитическая презентация,вторичный обзор,,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-055.docx,03_pair_reports/ПАРА-055.pdf,
E034,T08,Режим высылки и реестр контролируемых лиц,D03,ВЦИОМ,D11,115-ФЗ,Системное перекрестное сопоставление: ВЦИОМ ↔ 115-ФЗ.,"Тип сравнения: интегральное тематическое сопоставление; темы: T08, T12.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,3,1,аналитическая презентация,федеральный закон,115-ФЗ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-057.docx,03_pair_reports/ПАРА-057.pdf,
E035,T08,Режим высылки и реестр контролируемых лиц,D03,ВЦИОМ,D15,260-ФЗ,Системное перекрестное сопоставление: ВЦИОМ ↔ 260-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T08.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,3,1,аналитическая презентация,федеральный закон / контроль,260-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-061.docx,03_pair_reports/ПАРА-061.pdf,
E036,T14,Forensic/provenance layer,D03,ВЦИОМ,D22,ПП №1562,Системное перекрестное сопоставление: ВЦИОМ ↔ ПП №1562.,Тип сравнения: provenance/архивное сопоставление; темы: нет содержательной темы.,not_comparable,низкий,0.55,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Содержательное сравнение не требуется; пара учтена для полноты all-to-all.,нет,3,1,аналитическая презентация,постановление Правительства / изменения,ПП №1562,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-068.docx,03_pair_reports/ПАРА-068.pdf,
E037,T11,Концепции и планы реализации,D04,Концепция 2026-2030,D05,Концепция 2019-2025,Системное перекрестное сопоставление: Концепция 2026-2030 ↔ Концепция 2019-2025.,Тип сравнения: тематическое сопоставление; темы: T11.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,стратегический НПА / Указ,стратегический НПА / Указ,Концепция 2026-2030 / Концепция 2019-2025,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-073.docx,03_pair_reports/ПАРА-073.pdf,
E038,T11,Концепции и планы реализации,D04,Концепция 2026-2030,D07,План 30-р,Системное перекрестное сопоставление: Концепция 2026-2030 ↔ План 30-р.,Тип сравнения: тематическое сопоставление; темы: T11.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,стратегический НПА / Указ,план мероприятий,Концепция 2026-2030 / План 30-р,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-075.docx,03_pair_reports/ПАРА-075.pdf,
E039,T11,Концепции и планы реализации,D04,Концепция 2026-2030,D08,План 4171-р,Системное перекрестное сопоставление: Концепция 2026-2030 ↔ План 4171-р.,"Тип сравнения: интегральное тематическое сопоставление; темы: T11, T12, T13.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,1,1,стратегический НПА / Указ,план мероприятий,Концепция 2026-2030 / План 4171-р,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-076.docx,03_pair_reports/ПАРА-076.pdf,
E040,T12,Образовательная / интеллектуальная миграция,D04,Концепция 2026-2030,D11,115-ФЗ,Системное перекрестное сопоставление: Концепция 2026-2030 ↔ 115-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T12.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,стратегический НПА / Указ,федеральный закон,Концепция 2026-2030 / 115-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-079.docx,03_pair_reports/ПАРА-079.pdf,
E041,T14,Forensic/provenance layer,D04,Концепция 2026-2030,D17,Указ №467,Системное перекрестное сопоставление: Концепция 2026-2030 ↔ Указ №467.,Тип сравнения: provenance/архивное сопоставление; темы: нет содержательной темы.,not_comparable,низкий,0.55,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Содержательное сравнение не требуется; пара учтена для полноты all-to-all.,нет,1,1,стратегический НПА / Указ,Указ Президента / цифровой профиль,Концепция 2026-2030 / Указ №467,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-085.docx,03_pair_reports/ПАРА-085.pdf,
E042,T11,Концепции и планы реализации,D05,Концепция 2019-2025,D07,План 30-р,Системное перекрестное сопоставление: Концепция 2019-2025 ↔ План 30-р.,Тип сравнения: тематическое сопоставление; темы: T11.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,стратегический НПА / Указ,план мероприятий,Концепция 2019-2025 / План 30-р,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-096.docx,03_pair_reports/ПАРА-096.pdf,
E043,T11,Концепции и планы реализации,D05,Концепция 2019-2025,D08,План 4171-р,Системное перекрестное сопоставление: Концепция 2019-2025 ↔ План 4171-р.,Тип сравнения: тематическое сопоставление; темы: T11.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,стратегический НПА / Указ,план мероприятий,Концепция 2019-2025 / План 4171-р,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-097.docx,03_pair_reports/ПАРА-097.pdf,
E044,T14,Forensic/provenance layer,D05,Концепция 2019-2025,D13,КоАП РФ,Системное перекрестное сопоставление: Концепция 2019-2025 ↔ КоАП РФ.,Тип сравнения: provenance/архивное сопоставление; темы: нет содержательной темы.,not_comparable,низкий,0.55,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Содержательное сравнение не требуется; пара учтена для полноты all-to-all.,нет,1,1,стратегический НПА / Указ,кодекс / ответственность,Концепция 2019-2025 / КоАП РФ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-102.docx,03_pair_reports/ПАРА-102.pdf,
E045,T03,Миграционный учет и уведомления,D06,109-ФЗ,D09,Клерк,Системное перекрестное сопоставление: 109-ФЗ ↔ Клерк.,"Тип сравнения: интегральное тематическое сопоставление; темы: T03, T08.",partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,да,1,3,федеральный закон,вторичный обзор,109-ФЗ,интегральное событие из pair matrix,ответственный юрист,проверить точную норму/редакцию и закрыть статус,02_pair_reports/ПАРА-118.docx,03_pair_reports/ПАРА-118.pdf,
E046,T03,Миграционный учет и уведомления,D06,109-ФЗ,D10,Минэк страница,Системное перекрестное сопоставление: 109-ФЗ ↔ Минэк страница.,Тип сравнения: тематическое сопоставление; темы: T03.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,2,федеральный закон,ведомственная информация / snapshot,109-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-119.docx,03_pair_reports/ПАРА-119.pdf,
E047,T08,Режим высылки и реестр контролируемых лиц,D06,109-ФЗ,D11,115-ФЗ,Системное перекрестное сопоставление: 109-ФЗ ↔ 115-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T08.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон,федеральный закон,109-ФЗ / 115-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-120.docx,03_pair_reports/ПАРА-120.pdf,
E048,T03,Миграционный учет и уведомления,D06,109-ФЗ,D14,121-ФЗ,Системное перекрестное сопоставление: 109-ФЗ ↔ 121-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T03.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон,федеральный закон / эксперимент,109-ФЗ / 121-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-123.docx,03_pair_reports/ПАРА-123.pdf,
E049,T08,Режим высылки и реестр контролируемых лиц,D06,109-ФЗ,D15,260-ФЗ,Системное перекрестное сопоставление: 109-ФЗ ↔ 260-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T08.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон,федеральный закон / контроль,109-ФЗ / 260-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-124.docx,03_pair_reports/ПАРА-124.pdf,
E050,T03,Миграционный учет и уведомления,D06,109-ФЗ,D24,270-ФЗ,Системное перекрестное сопоставление: 109-ФЗ ↔ 270-ФЗ.,Тип сравнения: тематическое сопоставление; темы: T03.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,федеральный закон,федеральный закон / изменения,109-ФЗ / 270-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-133.docx,03_pair_reports/ПАРА-133.pdf,
E051,T11,Концепции и планы реализации,D07,План 30-р,D08,План 4171-р,Системное перекрестное сопоставление: План 30-р ↔ План 4171-р.,Тип сравнения: тематическое сопоставление; темы: T11.,partial_overlap,средний,0.68,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Включено в интегральную карту покрытия; подробное юридическое событие формируется только для релевантных тематических пересечений.,нет,1,1,план мероприятий,план мероприятий,План 30-р / План 4171-р,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-136.docx,03_pair_reports/ПАРА-136.pdf,
E052,T14,Forensic/provenance layer,D07,План 30-р,D25,281-ФЗ,Системное перекрестное сопоставление: План 30-р ↔ 281-ФЗ.,Тип сравнения: provenance/архивное сопоставление; темы: нет содержательной темы.,not_comparable,низкий,0.55,см. листы: Реестр источников / Тема×Документ / Тезисы×НПА,Содержательное сравнение не требуется; пара учтена для полноты all-to-all.,нет,1,1,план мероприятий,федеральный закон / КоАП,План 30-р / 281-ФЗ,интегральное событие из pair matrix,,не требуется,02_pair_reports/ПАРА-153.docx,03_pair_reports/ПАРА-153.pdf,
